tgt_priority_explanation,tgt_industry,country_flying_mission,total_tons,ac_attacking
primary target,synthetic oil refineries,others,24,10
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,37,15
primary target,synthetic oil refineries,others,37,15
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,28,11
primary target,synthetic oil refineries,others,28,11
primary target,synthetic oil refineries,others,33,16
primary target,synthetic oil refineries,others,33,16
target of opportunity,unidentified targets,others,33,13
target of opportunity,unidentified targets,others,33,13
target of opportunity,unidentified targets,others,33,13
primary target,synthetic oil refineries,others,26,11
primary target,synthetic oil refineries,others,26,11
primary target,synthetic oil refineries,others,23,10
primary target,synthetic oil refineries,others,23,10
primary target,synthetic oil refineries,others,29,12
primary target,synthetic oil refineries,others,29,12
primary target,synthetic oil refineries,others,3,1
primary target,synthetic oil refineries,others,3,1
primary target,synthetic oil refineries,others,20,8
primary target,synthetic oil refineries,others,20,8
primary target,synthetic oil refineries,others,29,12
primary target,synthetic oil refineries,others,28,11
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,29,12
primary target,synthetic oil refineries,others,28,11
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,28,12
primary target,synthetic oil refineries,others,8,3
primary target,synthetic oil refineries,others,28,12
primary target,synthetic oil refineries,others,8,3
target of opportunity,unidentified targets,others,30,13
target of opportunity,unidentified targets,others,30,13
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,25,12
primary target,synthetic oil refineries,others,25,12
target of opportunity,unidentified targets,others,30,12
target of opportunity,unidentified targets,others,30,12
target of opportunity,unidentified targets,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,68,24
primary target,synthetic oil refineries,others,68,24
target of opportunity,urban areas,great britain,68,37
target of opportunity,urban areas,great britain,408,35
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
primary target,synthetic oil refineries,others,9,4
target of opportunity,synthetic oil refineries,others,20,7
primary target,synthetic oil refineries,others,9,4
target of opportunity,synthetic oil refineries,others,20,7
primary target,synthetic oil refineries,others,3,1
primary target,synthetic oil refineries,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,urban areas,great britain,313,97
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,usa,16,7
target of opportunity,unidentified targets,usa,16,7
target of opportunity,unidentified targets,usa,16,7
secondary target,urban areas,usa,3,1
secondary target,urban areas,usa,3,1
secondary target,urban areas,usa,3,1
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,30,10
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,30,10
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,32,14
primary target,synthetic oil refineries,others,32,14
primary target,synthetic oil refineries,others,23,8
primary target,synthetic oil refineries,others,32,11
primary target,synthetic oil refineries,others,22,8
primary target,synthetic oil refineries,others,23,8
primary target,synthetic oil refineries,others,33,11
primary target,synthetic oil refineries,others,33,11
primary target,synthetic oil refineries,others,29,10
primary target,synthetic oil refineries,others,29,10
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,36,12
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
primary target,synthetic oil refineries,others,32,11
primary target,synthetic oil refineries,others,22,8
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,33,11
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,33,11
primary target,synthetic oil refineries,others,30,10
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,30,10
primary target,synthetic oil refineries,others,36,12
target of opportunity,urban areas,others,21,7
target of opportunity,urban areas,others,21,7
target of opportunity,urban areas,others,21,7
target of opportunity,urban areas,others,27,9
target of opportunity,urban areas,others,27,9
target of opportunity,urban areas,others,27,9
target of opportunity,urban areas,others,9,3
target of opportunity,urban areas,others,9,3
target of opportunity,urban areas,others,9,3
primary target,synthetic oil refineries,others,26,9
primary target,synthetic oil refineries,others,26,9
primary target,synthetic oil refineries,others,29,10
primary target,synthetic oil refineries,others,26,9
primary target,synthetic oil refineries,others,26,9
primary target,synthetic oil refineries,others,29,10
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
primary target,synthetic oil refineries,great britain,232,27
target of opportunity,unidentified targets,others,13,5
target of opportunity,unidentified targets,others,13,5
target of opportunity,unidentified targets,others,13,5
primary target,synthetic oil refineries,usa,45,23
primary target,synthetic oil refineries,usa,45,23
primary target,synthetic oil refineries,usa,45,23
primary target,synthetic oil refineries,usa,51,22
primary target,synthetic oil refineries,usa,45,23
primary target,synthetic oil refineries,usa,51,22
primary target,synthetic oil refineries,usa,55,22
primary target,synthetic oil refineries,usa,55,22
primary target,synthetic oil refineries,usa,63,21
primary target,synthetic oil refineries,usa,63,21
primary target,synthetic oil refineries,usa,54,22
primary target,synthetic oil refineries,usa,54,22
primary target,synthetic oil refineries,usa,55,19
primary target,synthetic oil refineries,usa,55,19
primary target,synthetic oil refineries,usa,88,35
primary target,synthetic oil refineries,usa,88,35
primary target,synthetic oil refineries,usa,76,31
primary target,synthetic oil refineries,usa,76,31
primary target,synthetic oil refineries,usa,67,27
primary target,synthetic oil refineries,usa,67,27
primary target,synthetic oil refineries,usa,54,22
primary target,synthetic oil refineries,usa,54,22
primary target,unidentified targets,usa,3,1
primary target,unidentified targets,usa,3,1
primary target,synthetic oil refineries,usa,79,34
primary target,synthetic oil refineries,usa,79,34
primary target,synthetic oil refineries,usa,47,19
primary target,synthetic oil refineries,usa,47,19
primary target,synthetic oil refineries,usa,87,29
primary target,synthetic oil refineries,usa,87,29
primary target,synthetic oil refineries,usa,39,20
primary target,synthetic oil refineries,usa,39,20
target of last resort,unidentified targets,usa,2,1
target of last resort,unidentified targets,usa,24,8
target of last resort,unidentified targets,usa,2,1
target of last resort,unidentified targets,usa,24,8
secondary target,urban areas,great britain,86,25
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
primary target,synthetic oil refineries,others,45,24
primary target,synthetic oil refineries,others,45,24
primary target,synthetic oil refineries,others,74,30
primary target,synthetic oil refineries,others,74,30
primary target,synthetic oil refineries,others,57,24
primary target,synthetic oil refineries,others,57,24
primary target,synthetic oil refineries,others,8,3
primary target,synthetic oil refineries,others,8,3
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,2,1
target of last resort,unidentified targets,others,2,1
target of last resort,unidentified targets,others,24,8
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
primary target,synthetic oil refineries,others,59,23
primary target,synthetic oil refineries,others,71,26
primary target,synthetic oil refineries,others,59,23
primary target,synthetic oil refineries,others,71,26
primary target,synthetic oil refineries,others,1,12
primary target,synthetic oil refineries,others,1,12
target of opportunity,urban areas,great britain,8,96
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of last resort,unidentified targets,others,33,12
target of last resort,unidentified targets,others,33,12
target of last resort,urban areas,usa,3,1
target of last resort,urban areas,usa,3,1
target of last resort,urban areas,usa,3,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,2,1
primary target,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,1
target of last resort,urban areas,others,63,22
target of last resort,urban areas,others,63,22
target of last resort,urban areas,others,63,22
secondary target,urban areas,great britain,10,33
target of last resort,urban areas,usa,3,1
target of last resort,urban areas,usa,3,1
target of last resort,urban areas,usa,3,1
target of last resort,urban areas,usa,2,1
primary target,synthetic oil refineries,usa,25,10
primary target,synthetic oil refineries,usa,25,10
primary target,synthetic oil refineries,usa,64,26
primary target,synthetic oil refineries,usa,64,26
primary target,synthetic oil refineries,usa,50,25
primary target,synthetic oil refineries,usa,50,25
primary target,synthetic oil refineries,usa,76,26
primary target,synthetic oil refineries,usa,76,26
primary target,synthetic oil refineries,usa,61,28
primary target,synthetic oil refineries,usa,61,28
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of last resort,urban areas,usa,2,1
target of last resort,urban areas,usa,2,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of last resort,urban areas,others,2,1
target of last resort,urban areas,others,2,1
target of last resort,urban areas,others,2,1
primary target,unidentified targets,others,75,31
primary target,unidentified targets,others,75,31
primary target,unidentified targets,others,75,31
primary target,unidentified targets,others,24,17
primary target,unidentified targets,others,24,17
primary target,unidentified targets,others,24,17
primary target,unidentified targets,others,49,25
primary target,unidentified targets,others,49,25
primary target,unidentified targets,others,49,25
primary target,unidentified targets,others,46,20
primary target,unidentified targets,others,46,20
primary target,unidentified targets,others,46,20
target of opportunity,unidentified targets,others,4,2
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,4,2
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,4,2
target of opportunity,unidentified targets,others,3,1
target of last resort,urban areas,others,2,1
target of last resort,urban areas,others,2,1
target of last resort,urban areas,others,2,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,synthetic oil refineries,great britain,12,23
secondary target,urban areas,great britain,462,36
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,others,26,8
target of opportunity,unidentified targets,others,26,8
target of opportunity,unidentified targets,others,33,10
target of opportunity,unidentified targets,others,33,10
target of opportunity,unidentified targets,others,36,11
target of opportunity,unidentified targets,others,36,11
target of opportunity,urban areas,usa,2,1
target of opportunity,urban areas,usa,2,1
target of opportunity,urban areas,usa,2,1
target of opportunity,urban areas,usa,6,3
target of opportunity,urban areas,usa,6,3
target of opportunity,urban areas,usa,6,3
target of opportunity,urban areas,usa,20,15
target of opportunity,urban areas,usa,20,15
target of opportunity,urban areas,usa,20,15
target of opportunity,urban areas,usa,26,20
target of opportunity,urban areas,usa,26,20
target of opportunity,urban areas,usa,26,20
target of opportunity,urban areas,usa,42,18
target of opportunity,urban areas,usa,42,18
target of opportunity,urban areas,usa,42,18
target of last resort,urban areas,usa,2,1
target of last resort,urban areas,usa,2,1
target of last resort,urban areas,usa,2,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,2
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,2
target of opportunity,unidentified targets,usa,3,1
secondary target,urban areas,great britain,362,58
target of opportunity,urban areas,usa,6,2
target of opportunity,urban areas,usa,6,2
target of opportunity,urban areas,usa,6,2
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,synthetic oil refineries,others,52,22
target of opportunity,synthetic oil refineries,others,52,22
target of opportunity,synthetic oil refineries,others,72,35
target of opportunity,synthetic oil refineries,others,72,35
target of opportunity,urban areas,others,50,19
target of opportunity,urban areas,others,50,19
target of opportunity,urban areas,others,50,19
target of opportunity,synthetic oil refineries,others,6,4
target of opportunity,synthetic oil refineries,others,1,1
target of opportunity,synthetic oil refineries,others,10,4
target of opportunity,synthetic oil refineries,others,6,4
target of opportunity,synthetic oil refineries,others,1,1
target of opportunity,synthetic oil refineries,others,10,4
target of last resort,urban areas,others,1,1
target of last resort,urban areas,others,1,1
target of last resort,urban areas,others,1,1
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,1,1
target of last resort,urban areas,great britain,742,58
target of opportunity,unidentified targets,others,51,22
target of opportunity,unidentified targets,others,51,22
target of opportunity,unidentified targets,others,51,22
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,10,4
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,10,4
secondary target,urban areas,others,1,1
secondary target,urban areas,others,1,1
secondary target,urban areas,others,1,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,others,23,10
target of opportunity,unidentified targets,others,23,10
target of opportunity,unidentified targets,others,23,10
target of opportunity,unidentified targets,others,4,1
target of opportunity,unidentified targets,others,4,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,urban areas,usa,44,21
target of opportunity,urban areas,usa,44,21
target of opportunity,urban areas,usa,44,21
target of opportunity,urban areas,usa,53,19
target of opportunity,urban areas,usa,53,19
target of opportunity,urban areas,usa,53,19
target of opportunity,unidentified targets,usa,26,13
target of opportunity,unidentified targets,usa,26,13
target of opportunity,urban areas,usa,3,1
target of opportunity,urban areas,usa,3,1
target of opportunity,urban areas,usa,3,1
target of opportunity,urban areas,usa,2,1
target of opportunity,urban areas,usa,2,1
target of opportunity,urban areas,usa,2,1
target of opportunity,urban areas,usa,2,1
target of opportunity,urban areas,usa,2,1
target of opportunity,urban areas,usa,2,1
target of opportunity,urban areas,usa,4,2
target of opportunity,urban areas,usa,4,2
target of opportunity,urban areas,usa,4,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,25,9
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,25,9
target of opportunity,urban areas,others,27,10
target of opportunity,urban areas,others,22,8
target of opportunity,urban areas,others,27,10
target of opportunity,urban areas,others,22,8
target of opportunity,urban areas,others,27,10
target of opportunity,urban areas,others,22,8
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,5,2
primary target,synthetic oil refineries,others,27,12
primary target,synthetic oil refineries,others,27,12
primary target,synthetic oil refineries,others,34,15
primary target,synthetic oil refineries,others,34,15
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,4,2
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,4,2
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,4,2
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,11,6
target of opportunity,urban areas,others,11,6
target of opportunity,urban areas,others,11,6
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
primary target,synthetic oil refineries,others,33,11
primary target,synthetic oil refineries,others,33,11
primary target,synthetic oil refineries,others,38,14
primary target,synthetic oil refineries,others,38,14
primary target,synthetic oil refineries,others,89,33
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,53,22
primary target,synthetic oil refineries,others,89,33
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,53,22
target of last resort,urban areas,usa,2,1
target of last resort,urban areas,usa,2,1
target of last resort,urban areas,usa,2,1
target of last resort,urban areas,usa,30,12
target of last resort,urban areas,usa,30,12
target of last resort,urban areas,usa,30,12
target of opportunity,unidentified targets,usa,4,2
target of opportunity,unidentified targets,usa,4,2
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
secondary target,synthetic oil refineries,great britain,56,28
target of opportunity,unidentified targets,others,4,1
target of opportunity,unidentified targets,others,4,1
target of opportunity,unidentified targets,others,4,1
target of opportunity,unidentified targets,others,4,1
target of opportunity,unidentified targets,others,4,1
target of last resort,urban areas,others,12,7
target of last resort,urban areas,others,12,7
target of last resort,urban areas,others,12,7
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,4,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,4,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,3,1
primary target,urban areas,great britain,129,43
primary target,urban areas,great britain,119,98
primary target,synthetic oil refineries,others,22,8
primary target,synthetic oil refineries,others,22,8
primary target,synthetic oil refineries,others,52,19
primary target,synthetic oil refineries,others,52,19
primary target,synthetic oil refineries,others,20,9
primary target,synthetic oil refineries,others,72,29
primary target,synthetic oil refineries,others,20,9
primary target,synthetic oil refineries,others,72,29
target of opportunity,unidentified targets,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
secondary target,urban areas,great britain,389,41
target of opportunity,urban areas,usa,60,20
target of opportunity,urban areas,usa,60,20
target of opportunity,urban areas,usa,60,20
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,1
target of last resort,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,1
target of last resort,unidentified targets,usa,2,1
secondary target,urban areas,others,53,18
secondary target,urban areas,others,53,18
secondary target,urban areas,others,53,18
target of opportunity,urban areas,others,26,11
target of opportunity,urban areas,others,26,11
target of opportunity,urban areas,others,26,11
target of opportunity,urban areas,others,28,11
target of opportunity,urban areas,others,28,11
target of opportunity,urban areas,others,28,11
target of opportunity,urban areas,others,9,6
target of opportunity,urban areas,others,12,8
target of opportunity,urban areas,others,7,5
target of opportunity,urban areas,others,9,6
target of opportunity,urban areas,others,12,8
target of opportunity,urban areas,others,7,5
target of opportunity,urban areas,others,9,6
target of opportunity,urban areas,others,12,8
target of opportunity,urban areas,others,7,5
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,1,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,1,2
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,27,12
target of opportunity,unidentified targets,others,27,12
target of opportunity,unidentified targets,others,27,12
target of opportunity,urban areas,great britain,807,96
target of last resort,urban areas,great britain,714,43
primary target,synthetic oil refineries,great britain,204,2
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,1,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of last resort,urban areas,great britain,459,60
primary target,synthetic oil refineries,great britain,202,1
primary target,urban areas,usa,28,24
primary target,urban areas,usa,28,24
primary target,urban areas,usa,28,24
primary target,urban areas,usa,38,21
primary target,urban areas,usa,38,21
primary target,urban areas,usa,38,21
primary target,urban areas,usa,41,23
primary target,urban areas,usa,33,13
primary target,urban areas,usa,52,26
primary target,urban areas,usa,33,13
primary target,urban areas,usa,41,23
primary target,urban areas,usa,33,13
primary target,urban areas,usa,52,26
primary target,urban areas,usa,33,13
primary target,urban areas,usa,41,23
primary target,urban areas,usa,33,13
primary target,urban areas,usa,52,26
primary target,urban areas,usa,33,13
secondary target,urban areas,great britain,121,39
target of opportunity,unidentified targets,usa,43,17
target of opportunity,unidentified targets,usa,43,17
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,5,2
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,22,10
primary target,synthetic oil refineries,others,22,10
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,35,14
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,35,14
primary target,synthetic oil refineries,others,32,13
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,30,12
secondary target,urban areas,great britain,327,70
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,19,12
primary target,synthetic oil refineries,others,19,12
primary target,synthetic oil refineries,others,65,23
primary target,synthetic oil refineries,others,70,29
primary target,synthetic oil refineries,others,65,23
primary target,synthetic oil refineries,others,70,29
primary target,synthetic oil refineries,others,28,10
primary target,synthetic oil refineries,others,28,10
primary target,synthetic oil refineries,others,54,19
primary target,synthetic oil refineries,others,54,19
primary target,synthetic oil refineries,great britain,249,67
primary target,synthetic oil refineries,great britain,249,67
primary target,synthetic oil refineries,others,110,38
primary target,synthetic oil refineries,others,110,38
target of opportunity,unidentified targets,usa,15,6
target of opportunity,unidentified targets,usa,15,6
target of opportunity,urban areas,usa,2,1
target of opportunity,urban areas,usa,2,1
target of opportunity,urban areas,usa,2,1
target of last resort,urban areas,usa,3,1
target of last resort,urban areas,usa,3,1
target of last resort,urban areas,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
secondary target,unidentified targets,others,27,12
secondary target,unidentified targets,others,27,12
secondary target,unidentified targets,others,27,12
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
